Train/Test,Model,Accuracy,Train_Samples,Test_Samples
60/40,SVM,0.9802631578947368,226,152
60/40,KNN_K=3,0.9407894736842105,226,152
60/40,KNN_K=5,0.8486842105263158,226,152
60/40,Decision Tree,0.5921052631578947,226,152
70/30,SVM,0.9912280701754386,264,114
70/30,KNN_K=3,0.9385964912280702,264,114
70/30,KNN_K=5,0.868421052631579,264,114
70/30,Decision Tree,1.0,264,114
80/19,SVM,0.9868421052631579,302,76
80/19,KNN_K=3,0.881578947368421,302,76
80/19,KNN_K=5,0.8157894736842105,302,76
80/19,Decision Tree,0.9868421052631579,302,76
90/9,SVM,1.0,340,38
90/9,KNN_K=3,1.0,340,38
90/9,KNN_K=5,0.8947368421052632,340,38
90/9,Decision Tree,1.0,340,38
